"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Errekalde",43.2787641,-2.0072715,"default",0
2,"Lasarte-Oria",43.2708292,-2.0201442,"default",1998
3,"Añorga",43.2918238,-1.9945638,"default",0
4,"Lugaritz",43.3027081,-2.000252,"default",2005
5,"Amara",43.3126297,-1.9814982,"default",0
6,"Anoeta",43.302393,-1.9746188,"default",1993
7,"Intxaurrondo",43.3142328,-1.9548312,"default",2012
8,"Loiola",43.3104742,-1.9679528,"default",0
9,"Herrera",43.3199543,-1.9375686,"default",0
10,"Altza",43.3164512,-1.9309949,"default",2016
11,"Pasaia",43.3182037,-1.9180106,"default",1912
12,"Galtzaraborda",43.3124064,-1.9064418,"default",0
13,"Errenteria",43.3111409,-1.8990985,"default",1912
14,"Irun Ficoba",43.3493022,-1.7865014,"default",1913
15,"Usurbil",43.268644,-2.0529864,"default",0
16,"Aia-Orio",43.2742268,-2.1260391,"default",0
17,"Gaintxurizketa",43.3267424,-1.8575853,"default",0
18,"Hendaia",43.3524968,-1.7821484,"default",1913
19,"Bentak",43.330349,-1.817043,"default",0
20,"Donostia / San Sebastián",43.3177148,-1.9766848,"default",0
21,"Lezo-Rentería",43.3159433,-1.8993303,"default",0
22,"Martutene",43.299079,-1.956301,"default",0
23,"Hernani",43.2724133,-1.9637993,"default",0
24,"Gros",43.321967,-1.9732992,"default",0
25,"Fanderia",43.3082791,-1.889295,"default",2011
26,"Oiartzun",43.3086426,-1.8798415,"default",0
27,"Irun",43.3410569,-1.7960868,"default",0
28,"Ategorrieta",43.3203466,-1.9589119,"default",0
29,"Intxaurrondo",43.3201672,-1.9527625,"default",0
30,"Pasaia",43.3189681,-1.9170847,"default",0
31,"Hernani Centro",43.2656693,-1.9732462,"default",0
32,"Urnieta",43.2478638,-1.9881449,"default",0
33,"Andoain",43.2221548,-2.0156385,"default",0
34,"Loiola",43.3045436,-1.9636539,"default",0
35,"Andoain Centro",43.2155284,-2.0203456,"default",0
36,"Boulevard",43.3219797014471,-1.98424675355091,"bus",
37,"Urbieta 20",43.3172177330654,-1.98306622914828,"bus",
